problem1,233168,0.00131590935046,sec
problem2,4613732,0.000867440690668,sec
problem3,6857,0.0044699855898,sec
problem4,906609,0.574830715416,sec
problem5,232792560,0.000609193529139,sec
problem6,25164150,0.000462268496835,sec
problem7,104743,0.353665554998,sec
problem8,40824,0.0371284047791,sec
problem9,31875000,0.0135918486762,sec
problem10,142913828922,3.41903692887,sec
problem11,70600674,0.0137189723138,sec
problem12,76576500,0.991205670665,sec
problem13,5537376230,0.00316370014975,sec
problem14,837799,4.57057919259,sec
problem15,137846528820,0.000542146953262,sec
problem16,1366,0.00102366327092,sec
problem17,21124,0.00621576293871,sec
problem18,1074,0.00081033325677,sec
problem19,171,0.542579660826,sec
problem20,648,0.000862943967027,sec
problem21,31626,0.706054017084,sec
problem22,871198282,0.0571653862589,sec
problem23,4179871,3.05575772896,sec
problem24,2783915460,3.0423580377,sec
problem25,4782,0.291656721895,sec
problem26,983,0.46624381343,sec
problem27,-59231,0.668599361742,sec
problem28,669171001,0.0107973858893,sec
problem29,9183,0.0699462600843,sec
problem30,443839,0.540126252873,sec
problem31,73682,0.00446036167939,sec
problem32,45228,0.130667681241,sec
problem33,100,0.0863210228549,sec
problem34,40730,0.0324261621513,sec
problem35,55,34.3075445683,sec
problem36,872187,1.35758184494,sec
problem37,748317,15.5662137868,sec
problem38,932718654,0.00416522842672,sec
problem39,840,1.14911062236,sec
problem40,210,0.410020351493,sec
problem41,7652413,0.245693941684,sec
problem42,162,0.0706058187446,sec
problem43,16695334890,2.24949185753,sec
problem44,5482660,0.859531969989,sec
problem45,1533776805,0.984448402367,sec
problem46,5777,0.296683023037,sec
problem47,134043,0.422028502356,sec
problem48,9110846700,0.0773614830574,sec
problem49,296962999629,0.0593657329763,sec
problem50,997651,1.7246794917,sec

problem51,121313,2.40907335263,sec
problem52,142857,1.49206343096,sec
problem53,4075,0.181017613152,sec
problem54,376,0.430645486229,sec
problem55,249,0.54941941784,sec
problem56,972,0.456861507191,sec
problem57,153,258.842636506,sec
problem58,26241,0.8956373251,sec
problem59,107359,0.0336601634279,sec
problem61,28684,0.261592716065,sec
problem62,127035954683L,22.7996834355,sec
problem63,49,0.00208102358001,sec
problem64,1322,0.0417654727808,sec
problem65,272,0.0281414569924,sec
problem67,7273,0.0423223799698,sec
problem69,510510,0.00042987075647,sec
problem70,8319823,0.432640214858,sec
problem71,428570,0.00431218112572,sec
problem72,303963552391,1.53424658413,sec
problem73,7295372,3.04655821092,sec
problem74,402,29.5095258076,sec
problem75,161667,1.12780795428,sec
problem76,190569291,0.00836419420406,sec
problem77,71,0.0139768947676,sec
problem78,55374,10.3395780081,sec
problem79,73162890,0.00228120220094,sec
problem80,40886,0.217684947081,sec
problem81,427337,0.0273182865737,sec
problem85,2772,0.0369611858787,sec
problem87,1097343,0.609456643364,sec
problem89,743,0.0243066248858,sec
problem91,14234,1.14303275743,sec
problem92,85623,1.23753118167,sec
problem94,518408346,0.000429229158385,sec
problem95,14316,4.75796929055,sec
problem97,8739992577,2.07439490879,sec
problem99,709,0.0198324402287,sec
problem100,756872327473,0.000526752076212,sec
problem102,228,0.047296048782,sec
problem104,329468,0.112713716342,sec
problem112,1587000,19.2290919205,sec
problem120,333082500,0.00114396949073,sec
problem124,21417,7.24999230082,sec
problem125,2906969179,0.408372727459,sec
problem145,608720,0.000371164526295,sec
problem179,986262,7.5138963742,sec
problem187,17427258,82.7632849312,sec
problem205,0.5731441,0.000852042335212,sec
problem206,1389019170,78.1068062014,sec
problem243,892371480,0.00239989785758,sec

problem95ÇÃÇ›ï\ãLÇïœÇ¶ÇÈÇ±Ç∆ÅD
